time,x,y,yaw,bias_z,P_xx,P_yy,P_yaw,P_bias,info_eig_0,info_eig_1,info_eig_2,min_info_eigenvalue
117.0,0.3087757173414527,-0.0005083114627616834,0.01024452383409989,-0.0020611869861332016,1.4896294141173576e-07,6.229648407426312e-10,1.0181298532552683e-08,2.8243455757461543e-06,177.10351637780263,807.0691205111171,2768.933483077357,177.10351637780263
117.1,0.30876580959063016,-0.0005083923429291588,0.010246373703389463,-0.002062044147161906,1.2119519763900128e-07,6.1711294711543e-10,7.426489020529073e-09,2.823762385747163e-06,152.71230356203716,842.9696147866873,3636.4662832436243,152.71230356203716
117.2,0.3105293529131729,-0.0004901837595918264,0.010260036209172756,-0.0020116995929897125,4.6123053655094596e-07,6.502363528989872e-10,2.5662542527323623e-08,2.81009546979921e-06,152.71558299818176,842.9613771768555,3636.868523113524,152.71558299818176
117.3,0.3121519861518637,-0.0004735163065809283,0.010278849110368317,-0.0019654622035920393,4.869462602916861e-07,6.510397038411863e-10,2.5745507880841486e-08,2.793520731369662e-06,152.7243213284558,842.9576720500537,3637.074965263576,152.7243213284558
117.4,0.3121149257676332,-0.0004739485960452665,0.010270826186729769,-0.0019618054070459803,2.792340355378646e-07,6.261745738109901e-10,1.3304809818756927e-08,2.7909557845173255e-06,152.72679990287997,842.9582939615664,3636.821743185118,152.72679990287997
117.5,0.31222317174141123,-0.000472804191809735,0.010272281772274027,-0.0019624758309585723,1.957348552282008e-07,6.144014560203853e-10,8.970145608945174e-09,2.790061941491787e-06,152.73862314998817,842.9509313106354,3637.067146741825,152.73862314998817
117.6,0.3122128052744541,-0.00047290515052662033,0.010272234181475388,-0.001962455816772729,1.5069396447869052e-07,6.067020236163886e-10,6.765105925672356e-09,2.78960713250853e-06,152.66749542049052,843.013953239731,3638.8524364423447,152.66749542049052
117.7,0.31220357013438194,-0.00047297396690982837,0.010273904819239153,-0.0019632217056503964,1.225034097286628e-07,6.008041524684784e-10,5.430256294797979e-09,2.7893317202610526e-06,152.6736633213278,843.0089532989483,3638.9493155053233,152.6736633213278
117.8,0.3121899644109311,-0.00047316585524237253,0.010271511479208507,-0.001962120119472479,1.0319787405291583e-07,5.958697678064376e-10,4.5354660435418075e-09,2.789147030983326e-06,152.67520515760015,843.0096607898174,3638.5992599307183,152.67520515760015
117.9,0.31218324926211244,-0.000473208308667443,0.01027262582377825,-0.0019626336476817005,8.914792800760458e-08,5.915164651332137e-10,3.89396822414314e-09,2.7890145618461237e-06,152.68581024368734,843.0056104963807,3637.896572425186,152.68581024368734
118.0,0.31217789063498863,-0.00047324924946521777,0.01027247842110857,-0.001962570840526778,7.846516125293959e-08,5.875455216436246e-10,3.4113801867831944e-09,2.7889148546952662e-06,152.68721786937337,843.0016665150644,3638.647008205954,152.68721786937337
118.1,0.3122054496590729,-0.0004729618474050082,0.010275437910674087,-0.00196391549602591,7.006846626974947e-08,5.838428061877997e-10,3.0354622244298923e-09,2.7888371393516995e-06,152.69222303369438,842.9842552716393,3636.1491133935374,152.69222303369438
118.2,0.312197106061627,-0.00047311504437437367,0.010273712176540013,-0.0019631124740686883,6.333230382221952e-08,5.803401173716083e-10,2.7341631829679117e-09,2.7887748131022363e-06,151.76754585288012,843.9843256760014,3636.2074681971753,151.76754585288012
118.3,0.31219286640334115,-0.0004731038360178991,0.010274935487433008,-0.00196368370093414,5.7745068316974446e-08,5.769885185741925e-10,2.4873873621311153e-09,2.788723724696162e-06,152.74671560064334,842.9223676236214,3634.6721717164837,152.74671560064334
118.4,0.3122226524816032,-0.00047280034015388683,0.010274411249602778,-0.0019634450938390787,5.306374394519344e-08,5.737586239394964e-10,2.281387934678179e-09,2.7886810445941664e-06,152.74681535841376,842.91568841489,3636.388350433215,152.74681535841376
118.5,0.31221960551635025,-0.00047282546589903253,0.010274301607247372,-0.0019633971192771008,4.9086157468120746e-08,5.706283497113225e-10,2.106844593695475e-09,2.7886448512664605e-06,152.67887973134845,842.976196407308,3637.757073178137,152.67887973134845
118.6,0.3122131325701821,-0.0004729138381069597,0.010274170674625542,-0.001963331292842259,4.566321283796144e-08,5.675820868160241e-10,1.9571593879679364e-09,2.7886137849086685e-06,152.68326611906815,842.9770051440177,3636.605084073812,152.68326611906815
118.7,0.31221047371315214,-0.0004729208384631162,0.01027419514506456,-0.0019633483165725336,4.268645972247111e-08,5.646080320436937e-10,1.8273414281910292e-09,2.788586816451097e-06,152.68760413117965,842.9750274134093,3636.457749286792,152.68760413117965
118.8,0.31220782438056804,-0.00047293575612011315,0.010274308983242523,-0.001963403567939231,4.0074007020685105e-08,5.616973186089643e-10,1.7136750740713869e-09,2.7885631797608463e-06,152.6911945387483,842.9713706652474,3636.5332222393045,152.6911945387483
118.9,0.31220504383328673,-0.00047289711245155394,0.010274485262157325,-0.0019635031718699355,3.7762841742840514e-08,5.588429537075475e-10,1.6133205482560536e-09,2.7885422894016898e-06,152.69429693852206,842.9695562478875,3636.683742542643,152.69429693852206
119.0,0.3121997313632562,-0.00047304126114802893,0.010273996085375919,-0.0019632549991378404,3.570364039727448e-08,5.560393312977571e-10,1.5240758527728417e-09,2.7885236913954786e-06,152.7007152263847,842.9653653163518,3636.531809030191,152.7007152263847
119.1,0.3121976721932456,-0.0004730433606582157,0.010274127930950602,-0.0019633203954667203,3.385729670689134e-08,5.532821138571243e-10,1.4442029665720006e-09,2.788507027496333e-06,152.7102260595657,842.9628888207415,3635.8642315518855,152.7102260595657
119.2,0.3121952131519481,-0.0004730351471757588,0.010274703768016577,-0.0019635915267104446,3.219232819353999e-08,5.505672940967697e-10,1.3722842739134092e-09,2.788492005401401e-06,152.72834478796088,842.9507786196054,3636.0281098654445,152.72834478796088
119.3,0.3121933438015641,-0.0004730582338966616,0.010274653512810981,-0.001963567578524746,3.068345290139208e-08,5.478922955653772e-10,1.3071800982668886e-09,2.788478389861435e-06,152.72703217611516,842.9474657124114,3636.6495819778333,152.72703217611516
119.4,0.3122073693786736,-0.00047295536621920313,0.01027376200249469,-0.001963150933074439,2.930966777798472e-08,5.4525454227253e-10,1.247967413402286e-09,2.788465990742216e-06,152.72970284126916,842.947643080804,3637.144546127828,152.72970284126916
119.5,0.31220538484723254,-0.0004729393084083593,0.010274380650477168,-0.0019634423636390535,2.8054076217410655e-08,5.426516395247743e-10,1.1938856480343698e-09,2.7884546511359848e-06,152.6725515550234,843.0054187637879,3637.3129631669626,152.6725515550234
119.6,0.3122036403873284,-0.00047295204737563695,0.01027436418104829,-0.0019634363945131303,2.690166268456247e-08,5.400820572245992e-10,1.1442904255172996e-09,2.788444238090546e-06,152.66996943390103,843.0028707374929,3637.8997309647284,152.66996943390103
119.7,0.31220156579331326,-0.00047296449709570095,0.010274379635586355,-0.0019634459883008043,2.584010502905121e-08,5.375439205681024e-10,1.0986451051924603e-09,2.788434641200754e-06,152.68231172946653,842.9974411007458,3638.526182320067,152.68231172946653
119.8,0.31219835113833977,-0.0004730390288067816,0.010273854347548005,-0.0019631954450100146,2.4859155397618684e-08,5.350363657718047e-10,1.0565136139375597e-09,2.7884257703468587e-06,152.6820144470672,842.9967832769613,3637.5423495579225,152.6820144470672
119.9,0.3121961965710981,-0.00047301605911735434,0.010274371613685227,-0.0019634433818703396,2.3949860234314686e-08,5.325576186840717e-10,1.017500829126668e-09,2.788417544329224e-06,152.69864791746866,842.9940666515918,3636.9854914040907,152.69864791746866
120.0,0.3121947164986832,-0.00047302169370227575,0.010274406391353184,-0.0019634619544230862,2.3104714068666707e-08,5.301069258542645e-10,9.812613623003385e-10,2.7884098916143384e-06,152.70342648387734,842.9857815802497,3637.6414285912506,152.70342648387734
120.1,0.3121933690014436,-0.00047303014375466696,0.010274408564704966,-0.001963464509912185,2.2317176745294004e-08,5.276832852537446e-10,9.475147169995747e-10,2.7884027543584935e-06,152.70476236811697,842.981396954776,3637.7250622279316,152.70476236811697
120.2,0.312191576821563,-0.0004730386827504009,0.010274416764465754,-0.0019634711057734456,2.1581553786405268e-08,5.252858023408189e-10,9.160095529557337e-10,2.78839608080769e-06,152.70572049858447,842.9818874481748,3638.1191719131575,152.70572049858447
120.3,0.3122116726182275,-0.00047286955702197586,0.010274242105460189,-0.001963380996853235,2.0892840935597735e-08,5.229137170497901e-10,8.865461857016885e-10,2.788389829569538e-06,152.71462152756808,842.9628969870487,3636.4347991593613,152.71462152756808
